ID,角色名,描述,稀有度,定位,强项,基础HP,基础ATK,基础DEF,基础SKL,基础SPD,成长HP,成长ATK,成长DEF,成长SKL,成长SPD,满级HP,满级ATK,满级DEF,满级SKL,满级SPD
1,剑圣,无敌剑圣,5,NPC,,35,23,10,8,5,4.2,3.8,4.0,3.0,2.3,450,399,406,305,232
2,法师,精通元素魔法的术士,4,NPC,,20,8,4,4,8,3.0,2.5,2.2,2.1,1.5,317,255,221,211,156
3,骑士,守护正义的圣殿骑士,4,NPC,,35,12,10,3,4,2.7,3.1,2.8,1.5,1.8,302,318,287,151,182
4,刺客,隐匿于阴影中的杀手,3,NPC,,19,7,5,3,3,2.1,2.8,1.8,1.3,0.9,226,284,183,131,92
5,牧师,神圣的治愈者,3,NPC,,9,9,2,5,3,2.5,2.6,2.2,1.6,1.5,256,266,219,163,151
6,战士,勇敢的战场勇士,2,NPC,,23,11,5,3,2,1.9,2.0,1.2,1.0,0.7,211,209,123,102,71
7,弓手,百步穿杨的神箭手,2,NPC,,18,11,5,3,7,1.7,1.6,1.4,1.2,0.8,186,169,143,121,86
8,学者,博学多才的智者,1,NPC,,12,3,3,2,1,1.5,1.1,1.4,0.6,0.5,160,111,141,61,50
9,渡鸦,渡鸦 lv200 秉属第二空降小队的队员。 通过遭物将信息传递给了后续部队。 10.00s 1.00,5,速度型,SKL+/SPD+,20,12,5,8,8,3.2,3.8,2.2,3.5,3.8,336,388,222,354,384
10,2B,「冷静的意志之刃」。隶属于寄叶部队的2号B型人造人。,5,攻击型,ATK+/SKL+,22,14,6,7,6,3.5,4.2,2.5,3.2,2.8,368,429,253,323,283
11,A2,"「过往与憎恨的漩涡」。
隶属于寄叶部队的A型2号人造人。",5,攻击型,ATK+/DEF+,24,14,7,6,5,3.2,4.5,2.8,3.0,2.5,340,459,284,303,252
12,D,危险席部队的队长。 深信要让世界趋于良善，那便势必要铲除邪恶的妮姬。 执行任务时演技高超。,4,防御型,HP+/DEF+,28,11,9,5,4,3.8,3.2,2.8,2.5,2.0,404,327,286,252,202
13,E.H.,外来者部队的新任队长。 过去曾是恐怖组织「步入天堂」的首领，但在方舟恐怖攻击事件后，为了赎清过去的罪,4,攻击型,ATK+/HP+,24,13,6,5,6,3.5,4.0,2.2,2.5,2.5,370,409,223,252,253
14,K,隶属危险席部队的妮姬。 与身为队长的D不同，她拥有相当灵活的正义观。 即使是恶人，只要做出相应的善行,4,速度型,SPD+/SKL+,22,11,6,6,8,3.0,3.2,2.8,3.0,3.5,319,327,283,303,354
15,伊芙,"隶属第七空降小队的队员。
拥有空降小队队员该有的优越身体能力。
不知道为什么，总是一副不谙世事的模样",5,攻击型,ATK+/SPD+,22,13,5,6,7,3.8,4.0,2.5,3.2,3.2,398,409,252,322,323
16,伊莎贝尔,伊莎贝尔 lv200 能在空中飞行的追捕者。性格执着，只要认定目标，无论是敌人还是恋人都绝不放过。 ,4,速度型,SPD+/ATK+,20,11,5,6,8,3.0,2.8,2.5,2.5,3.2,317,288,252,253,324
17,克劳斯特,"食用油部队中负责料理的妮姬。
为了完美重现地面料理的美味而持续进行研究，也有在主持料理节目。
将享用",4,技巧型,SKL+/ATK+,20,12,6,9,5,2.8,3.2,2.8,3.5,2.2,297,328,283,355,222
18,克拉乌,克拉乌 lv200 外来者部队的队长。 来自混乱的外缘区。 冷静外表下隐藏着疯狂的一面，就像一颗不定,4,防御型,HP+/DEF+,28,10,9,4,4,3.5,2.8,2.8,2.0,1.8,374,287,286,202,182
